Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Zambia,ZMB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,6.42939681072337,6.575899707577,6.97767605490313,7.80687553566327,10.1105928909618,17.8697300795268,6.57731154205644,7.49457192728517,9.15031644316299
Zimbabwe,ZWE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.02267002518891,3.4661297281749,3.72532666110645,1.63495041543827,-0.197784810126641,-2.43096842383403,-1.54366960054167,0.893962316050075,10.6188658669575,255.304990757856
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.50923691774372,8.45987233408586,8.9396468278821,5.74883133553456,5.3702896100859,5.24587835022454,6.59650490696546,6.3993434156938,4.72080474200537,4.64496717329564
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.20783532536524,4.01869907534492,4.57837463515946,2.43920076104126,1.76843582146222,2.13081738058794,1.48741550755545,1.72548602374726,1.78404994832042,1.98309228487231
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,4.6386876969545,4.56353694438819,3.27712533943639,2.89947905006051,2.55167715246306,2.67659170098194,2.17183298510004,2.45719835917882,1.09184802655853
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.37002540220151,3.45674967234604,2.50461059084476,1.08324168178155,1.14542060958209,-0.852705497032977,0.402621696824936,1.69929570459838,1.20715793367006,1.00054293027233
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.80117022137135,4.13027562645086,3.33492267693444,1.43829787234044,0.0538213132399892,-0.464499004644924,-0.0549995416704661,2.07593553673849,2.53445424186594,2.66456133425436
Early-demographic dividend,EAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.33298207227273,5.79676809206531,5.01245237398259,4.79482359524338,4.01861608078671,3.12900274473927,3.52317317628478,3.60247741348943,3.97561015740694,2.76252019386107
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.91834002677376,4.8699385966957,2.93431609293952,2.51628815142169,2.49939951892551,0.795279630579784,1.2769909449733,1.80034222468618,2.36854905806702,1.70397863236261
East Asia & Pacific (excluding high income),EAP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.53491239189834,5.23541591478431,3.02093170729893,2.7672959767606,2.82693342066399,1.22393195511124,1.91731090233377,2.91263557371475,3.19834755924998,1.94257500833107
East Asia & Pacific (IDA & IBRD countries),TEA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.42431101163025,5.08259403890364,3.02093170729893,2.91354193604001,3.14299050879097,1.08648629940417,1.75711158908292,2.88291164981209,2.91740978470448,1.93321335810517
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.5205755786839,3.28801427219793,2.54154474108013,1.31023355618665,0.220195628198783,-0.085207229696361,0.166009884375597,1.37503641525343,1.68923965804135,1.44123966942342
Europe & Central Asia,ECS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.41890639481001,3.85611244682819,2.77333854051582,1.73403963519163,0.620490636732384,0.36804684232537,0.388838296895841,1.9155884645826,2.01321972250341,1.76373586528845
Europe & Central Asia (excluding high income),ECA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.77774669133377,7.8583333333334,3.31605566687647,4.59787897363121,3.06881210379543,4.02768573742726,2.13492713939121,4.60357355778863,2.56572880132715,2.64328192719552
Europe & Central Asia (IDA & IBRD countries),TEC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.14255360247247,7.66862955607735,3.37349808387404,3.38485646137123,2.53187831406914,3.86763469978396,1.1988728289259,3.13106248590118,2.61122378263799,2.67599202639889
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.53112270420927,3.28944939564209,2.6628416550802,1.21999342274302,0.199343826570771,-0.0616446800641597,0.183334861123829,1.42910743319303,1.73860861988179,1.63052260754342
Fragile and conflict affected situations,FCS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,5.03378120470463,5.47829594346121,4.44648435335714,2.43294141599223,3.16909796750827,3.78722687618845,4.25103775087231,3.21453925489093,2.37758732789784
Heavily indebted poor countries (HIPC),HPC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.82734190074673,6.38109582460691,6.01429442253115,5.16189898581494,3.96986045166307,3.77406982025571,4.66466235810214,4.97595150553836,3.06735996058356,2.80270307928108
High income,HIC,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.23148916021999,3.41374547661776,2.710119177355,1.50472330251882,1.04119621178439,0.330027165141348,0.39476930668638,1.58909413567799,1.88110801380598,1.61519988737214
IBRD only,IBD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.15672722680173,5.45497370685038,4.21238075950269,3.98471235548128,3.58922016616669,3.12900274473927,2.12081713361586,3.32389447576103,3.22703471046143,2.58405829251272
IDA & IBRD total,IBT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.03194542028741,5.78925328815879,4.6118443220664,4.33893848329103,3.51695551369242,3.15783117980925,2.81833288054799,3.44637335032668,3.19834755924998,2.68537355266785
IDA blend,IDB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.25034409180129,4.69315868608744,4.17763587102518,2.58117037252936,1.20139964481059,1.37488542621438,1.65038994431567,1.14765339305811,2.4803084319191,1.989587441209
IDA only,IDX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.7631162752545,6.42939681072337,5.9413013158571,5.00964645344951,4.12924306873774,3.55075967356746,3.95888846593072,4.44769937376297,3.06735996058356,2.86758803446903
IDA total,IDA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.73337757704245,6.27075302995686,5.32312847064055,4.81507152137759,3.47756105663922,3.16346457365876,3.37153003512097,3.89251625363387,2.9676036600445,2.72643037388829
